,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
794,1131,2115,199.0,78.7695517539978,31.17910695082385,0.4030381830219611,15.91774699517169,1.3959563688861192,280.0,0.710714285688903,0.2934782608695652,0.2826086956521739,0.859782608695652,0.1481765910522999,0.384937126102822,0.5588864,0.2348592,0.20222235,0.34835264,0.50021225,0.3366081,0.5662767,0.38264385,0.3323242,0.4865883,0.33807474,0.6530816,0.37930897,0.28230402,0.16962144,0.31734988,1,0.010619040262454534
795,1396,1909,1275.0,180.56854116916656,25.57254749780806,0.4914008123490192,40.29119531035698,1.2642326599173646,1447.5,0.8808290155379563,0.3926553672316384,0.3480225988700565,0.8304519774011299,0.0915482460340259,0.3025694069697496,0.63298583,0.33538055,0.3001573,0.4508872,0.5804762,0.42726812,0.67207587,0.4728026,0.4491141,0.60102755,0.43697947,0.66963106,0.4576355,0.37833464,0.276836,0.4314235,1,0.009369552083961334
796,1261,1959,2654.5,274.40916073322296,28.367070067443255,0.4429914892314706,58.13617093943744,1.3315186363884757,3090.5,0.8589225044463391,0.4142191142191143,0.3694638694638695,0.8197435897435899,0.0875502741237007,0.2958889557312011,0.7163396,0.3874659,0.32400993,0.5261217,0.65660614,0.51639515,0.77628464,0.55355716,0.53501165,0.70371044,0.50866294,0.71000564,0.52727276,0.49839664,0.331666,0.5116181,1,0.008327697016740018
797,1412,2027,3804.0,336.16652047634125,29.707657594341036,0.4230010587141941,69.59456320843287,1.3626182882600226,4374.5,0.869585095437491,0.4664596273291925,0.394824016563147,0.809751552795031,0.0812865587318733,0.2851079773206518,0.7431219,0.35812446,0.30728915,0.51881254,0.6606173,0.4980673,0.80679727,0.5797147,0.5262294,0.7031733,0.5010892,0.7319702,0.5334268,0.51837635,0.29079804,0.49890396,1,0.007837698574184601
798,1441,2057,538.5,105.35533833503725,20.6123441327466,0.6096526689630822,26.184718727530477,1.1350204879397587,603.5,0.8922949461326877,0.3584656084656085,0.3425925925925925,0.8302910052910053,0.1375136474342823,0.3708283260948148,0.65960854,0.3977105,0.34293252,0.5184602,0.65135485,0.42747077,0.6937734,0.4905772,0.52379525,0.6886727,0.4938489,0.6879929,0.50884736,0.38114795,0.2914505,0.49684528,1,0.008701515117260507
799,1242,2089,2099.5,271.0954524278641,35.00487941258312,0.358989113094342,51.70267327877229,1.479123038512391,2584.5,0.8123428129200528,0.4111801242236024,0.3540372670807453,0.828695652173913,0.0795028483983385,0.2819624946661143,0.7368603,0.39215222,0.31583706,0.5349688,0.6599227,0.51479983,0.7992184,0.5684976,0.5466849,0.71404546,0.51855886,0.7262197,0.5354594,0.5397638,0.32028455,0.52258307,1,0.00871179864753522
800,1363,2045,2497.0,256.0243849754333,26.250895355140727,0.4787025525910701,56.38509681825244,1.280890689925842,2862.5,0.872314410477302,0.4635593220338983,0.3951977401129943,0.8092372881355933,0.0790018832391713,0.2810727365632807,0.7182416,0.35534707,0.3040282,0.50169593,0.6335007,0.48352194,0.77189076,0.5526179,0.50981176,0.6730951,0.4862073,0.7206653,0.5117937,0.49563333,0.2842265,0.4843667,1,0.009769432261208577
801,1548,1986,1590.5,188.95331728458405,22.447881868987245,0.5598020645162807,45.00097216617966,1.1844798928832123,1811.5,0.8780016560812697,0.3251488095238095,0.3023313492063492,0.8511160714285714,0.1028121752173091,0.3206433770052161,0.65044236,0.31294534,0.26961368,0.44515455,0.579486,0.40940136,0.67652965,0.48810786,0.44525015,0.6006818,0.4307461,0.69824797,0.46061257,0.40613338,0.23096748,0.42341846,1,0.011191149946745443
802,1468,2013,3869.5,366.35028529167175,34.68472193641102,0.3623027636595796,70.19117051561906,1.4723434113198748,4442.5,0.8710185706226876,0.3608771929824561,0.3370175438596491,0.8338771929824561,0.0908408741151123,0.3013981985930114,0.70894617,0.35936987,0.30766314,0.50624883,0.63609856,0.46684253,0.75521284,0.54886395,0.51585275,0.6735932,0.48838338,0.72119236,0.51356685,0.48014915,0.27521202,0.48906478,1,0.01004504657261711
803,1534,2020,88.5,36.3847758769989,14.95877870587405,0.8400666163949421,10.61516366850092,0.9669145095228756,93.0,0.9516129031234826,0.3300653594771242,0.3300653594771242,0.8349673202614379,0.1383869451920202,0.3720039585703628,0.517976,0.27401587,0.22204472,0.35866737,0.5049115,0.31155914,0.5098184,0.3445503,0.34498426,0.50209594,0.34432417,0.6335203,0.3719619,0.24422467,0.17958705,0.3286848,1,0.009932948242599625
