Epoch:   80, Training time:    1.2694 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   81, Training time:    1.2789 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   82, Training time:    1.2883 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   83, Training time:    1.2977 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   84, Training time:    1.3072 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   85, Training time:    1.3167 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   86, Training time:    1.3262 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   87, Training time:    1.3410 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   88, Training time:    1.3603 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   89, Training time:    1.3798 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   90, Training time:    1.3964 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   91, Training time:    1.4129 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   92, Training time:    1.4292 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   93, Training time:    1.4457 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   94, Training time:    1.4621 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   95, Training time:    1.4784 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   96, Training time:    1.4946 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   97, Training time:    1.5107 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   98, Training time:    1.5269 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   99, Training time:    1.5431 hours, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  100, Training time:    1.5594 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  101, Training time:    1.5757 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  102, Training time:    1.5920 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  103, Training time:    1.6081 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  104, Training time:    1.6249 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  105, Training time:    1.6428 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  106, Training time:    1.6614 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  107, Training time:    1.6780 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  108, Training time:    1.6938 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  109, Training time:    1.7096 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  110, Training time:    1.7251 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  111, Training time:    1.7418 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  112, Training time:    1.7602 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  113, Training time:    1.7796 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  114, Training time:    1.7990 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  115, Training time:    1.8160 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
